醫事機構代碼,醫事機構名稱,電話,地址,地圖地址,緯度,經度,備註,縣市,鄉鎮市區
5901013139,慶昌藥局,02-25770820,台北市松山區延吉街29號,台北市松山區吉仁里3鄰延吉街29號,25.045949,121.553706,,台北市,松山區
5901013148,唯康藥局,02-25775000,台北市松山區八德路3段211號,台北市松山區復勢里13鄰八德路三段211號,25.048196,121.55663700000001,,台北市,松山區
5901013157,西松健康人生藥局,02-27687807,台北市松山區南京東路5段291巷7號,台北市松山區安平里21鄰南京東路五段291巷7號,25.052004999999998,121.566247,,台北市,松山區
5901013175,台北長庚維康藥局,02-27199386,台北市松山區敦化北路199巷2弄1號,台北市松山區中華里3鄰敦化北路199巷2弄1號,25.055737,121.55003899999998,,台北市,松山區
5901013200,專品南京藥局,02-25147685,台北市松山區南京東路4段73號,台北市松山區東勢里15鄰南京東路四段73號,25.051845999999998,121.55316699999999,,台北市,松山區
5901013246,芝欣藥局,02-25706677,台北市松山區八德路3段148號,台北市松山區復源里11鄰八德路三段148號,25.047992,121.55481499999999,,台北市,松山區
5901013264,佑翔藥局,02-87875050,台北市松山區民生東路5段95號,台北市松山區東榮里7鄰民生東路五段95號,25.058805,121.55968999999999,,台北市,松山區
5901013308,立赫敦北藥局,02-27199277,台北市松山區敦化北路222巷20號,台北市松山區民有里14鄰敦化北路222巷20號,25.059447,121.547743,,台北市,松山區
5901013317,延壽盛康藥局,02-25182229,台北市松山區延壽街111號,台北市松山區富泰里1鄰延壽街111號,25.057113,121.565349,,台北市,松山區
5901013326,富景藥局,02-27455666,台北市松山區三民路145號,台北市松山區三民里27鄰三民路145號,25.060785,121.563097,,台北市,松山區
5901013344,健康活力藥師藥局,02-27455556,台北市松山區民生東路5段219號,台北市松山區新東里17鄰民生東路五段219號,25.05931,121.56693,,台北市,松山區
5901013362,啄木鳥藥局,02-27422413,台北市松山區八德路4段209號、211號（1、2層）,台北市松山區吉祥里1鄰八德路四段209號,25.048937,121.563957,,台北市,松山區
5901013371,玖田藥局,02-27666578,台北市松山區八德路4段655號,台北市松山區慈祐里17鄰八德路四段655號,25.050178,121.575529,,台北市,松山區
5901013380,澄馨藥局,02-27420159,台北市松山區三民路37號,台北市松山區自強里22鄰三民路37號,25.055801000000002,121.563524,,台北市,松山區
5901013399,一安正昇藥局,02-27680993,台北市松山區南京東路5段348號,台北市松山區新聚里7鄰南京東路五段348號,25.051077,121.569309,,台北市,松山區
5901013406,美優康藥局,02-27152319,台北市松山區民生東路4段117之1號,台北市松山區精忠里6鄰民生東路四段117之1號,25.058242,121.55331399999999,,台北市,松山區
5901013433,杏一延吉藥局,02-25798450,臺北市松山區延吉街32號,台北市松山區吉仁里8鄰延吉街32號,25.046075,121.553504,國定假日有提供藥事服務業務,台北市,松山區
5901013442,松山八德藥局,02-27782773,臺北市松山區八德路2段400號,台北市松山區中崙里7鄰八德路二段400號,25.048043,121.54656999999999,國定假日有執行調劑業務,台北市,松山區
5901013451,新德大藥局,02-27673402,臺北市松山區饒河街204號,台北市松山區慈祐里20鄰饒河街204號,25.050743,121.57703500000001,,台北市,松山區
5901013460,光點延新藥局,02-27667795,台北市松山區延壽街101號,台北市松山區富泰里1鄰延壽街101號,25.057161999999998,121.56597,,台北市,松山區
5901013488,欣生藥局,02-27567611,臺北市松山區民生東路5段138巷1號,台北市松山區三民里11鄰民生東路五段138巷1號,25.058532,121.561699,,台北市,松山區
5901013497,民生盛康藥局,02-27460758,臺北市松山區民生東路5段204號,台北市松山區富泰里15鄰民生東路五段204號,25.058258,121.56477,,台北市,松山區
5901013504,杏一台北長庚藥局,02-25149463,臺北市松山區敦化北路199巷2弄3號,台北市松山區中華里3鄰敦化北路199巷2弄3號,25.055685,121.55003799999999,,台北市,松山區
5901013513,立赫民生藥局,02-27139200,臺北市松山區民生東路4段68號,台北市松山區精忠里3鄰民生東路四段68號,25.057856,121.55223000000001,,台北市,松山區
5901013522,大樹松山藥局,02-27562226,臺北市松山區民生東路5段107號,台北市松山區東榮里7鄰民生東路五段107號,25.058776,121.56013899999999,,台北市,松山區
5901020296,百立藥局,02-27327211,台北市大安區和平東路3段228巷66號1樓,台北市大安區芳和里15鄰和平東路三段228巷66號,25.020995000000003,121.553407,,台北市,大安區
5901020303,宏恩藥局,02-27000956,台北市大安區大安路1段181號,台北市大安區德安里13鄰大安路一段181號,25.036188,121.54611299999999,,台北市,大安區
5901020376,靜園藥局,02-27336390,台北市大安區和平東路2段118巷57之1號,台北市大安區龍淵里4鄰和平東路二段118巷57之1號,25.022541,121.54292099999999,,台北市,大安區
5901020385,延吉大藥局,02-27819227,台北市大安區延吉街153號1樓,台北市大安區正聲里13鄰延吉街153號,25.040657,121.554791,,台北市,大安區
5901020456,北陸藥局,02-27323594,台北市大安區和平東路3段278號1Ｆ,台北市大安區黎孝里15鄰和平東路三段278號,25.020998000000002,121.555866,,台北市,大安區
5901020465,杏友藥局,02-27079451,台北市大安區復興南路2段151巷25號,台北市大安區龍雲里8鄰復興南路二段151巷25號,25.028469,121.54463500000001,,台北市,大安區
5901020554,師大藥局,02-23623479,台北市大安區師大路99號1樓,台北市大安區古風里3鄰師大路99號,25.02271,121.52850900000001,,台北市,大安區
5901020563,施寶藥局,02-27114175,台北市大安區安東街50－5號1樓,台北市大安區誠安里7鄰安東街50之5號,25.042768,121.54256000000001,,台北市,大安區
5901020590,燕福藥局,02-23627307,台北市大安區羅斯福路3段283巷14弄14號之3,台北市大安區大學里24鄰羅斯福路三段283巷14弄14之3號,25.018166,121.53243300000001,,台北市,大安區
5901020616,龍護大藥局,02-23250686,台北市大安區大安路1段224巷7號1Ｆ,台北市大安區仁慈里4鄰大安路一段224巷7號,25.034014000000003,121.545445,,台北市,大安區
5901020634,新廣生藥局,02-27071221,台北市大安區仁愛路4段34號,台北市大安區德安里18鄰仁愛路四段34號,25.03762,121.546722,,台北市,大安區
5901020652,寶德藥局,02-27364240,台北市大安區樂利路105號1Ｆ,台北市大安區法治里5鄰樂利路105號,25.025123999999998,121.55238899999999,,台北市,大安區
5901020661,泰佑藥局,02-27056841,台北市大安區安和路2段72號1Ｆ,台北市大安區義安里15鄰安和路二段72號,25.030107,121.55173300000001,,台北市,大安區
5901020670,杏安堂藥局,02-27517636,台北市大安區忠孝東路4段77巷30號1樓,台北市大安區光武里7鄰忠孝東路四段77巷30號,25.042921,121.547142,,台北市,大安區
5901020689,四維藥局,02-27094222,台北市大安區復興南路2段151巷43號1樓,台北市大安區龍雲里14鄰復興南路二段151巷43號,25.028454999999997,121.545447,假日可先打電話聯絡,台北市,大安區
5901020698,羅斯福藥局,02-23699606,台北市大安區羅斯福路3段283巷9弄3號,台北市大安區大學里13鄰羅斯福路三段283巷9弄3號,25.019031,121.531295,,台北市,大安區
5901020732,赫慶藥局,02-27063497,台北市大安區瑞安街208巷11弄5號1樓,台北市大安區龍圖里14鄰瑞安街208巷11弄5號,25.028660000000002,121.54080900000001,,台北市,大安區
5901020787,吉成藥局,02-23636475,台北市大安區泰順街7號,台北市大安區龍坡里14鄰泰順街7號,25.025568,121.531585,,台北市,大安區
5901020858,順天堂藥局,02-23627149,台北市大安區龍泉街96號,台北市大安區古風里3鄰龍泉街96號,25.022564000000003,121.52920300000001,,台北市,大安區
5901020876,大興藥局,02-27053369,台北市大安區通化街39巷50弄15號1樓,台北市大安區通化里17鄰通化街39巷50弄15號,25.030555,121.555477,,台北市,大安區
5901020901,辰安藥局,02-27119536,台北市大安區大安路1段31巷28號,台北市大安區光武里11鄰大安路一段31巷28號,25.043848,121.54718100000001,,台北市,大安區
5901021122,青康藥局,02-27086623,台北市大安區延吉街248號1Ｆ,台北市大安區光信里25鄰延吉街248號,25.035316,121.555681,,台北市,大安區
5901021248,永誠藥局,02-27520273,台北市大安區忠孝東路4段216巷25之1號,台北市大安區車層里14鄰忠孝東路四段216巷25之1號,25.039967,121.553063,,台北市,大安區
5901021346,正昌藥局,02-27540070,台北市大安區通化街38巷9號1樓,台北市大安區通安里7鄰通化街38巷9號,25.030983,121.553716,,台北市,大安區
5901023304,麗樺藥師藥局,02-23952628,台北市大安區麗水街3號,台北市大安區永康里4鄰麗水街3號,25.032246,121.52903799999999,,台北市,大安區
5901023313,安和藥局,02-27092349,台北市大安區安和路1段102巷3號,台北市大安區敦安里3鄰安和路一段102巷3號,25.034332,121.55194099999999,,台北市,大安區
5901023331,佑安藥局,02-27069339,台北市大安區延吉街233巷9號,台北市大安區光信里10鄰延吉街233巷9號,25.037083,121.55613000000001,,台北市,大安區
5901023386,弘昇藥局,02-27110061,台北市大安區復興南路1段107巷32號,台北市大安區光武里24鄰復興南路一段107巷32號,25.043494,121.545787,上午11點以後至晚上11點,台北市,大安區
5901023411,長虹藥局,02-27210232,台北市大安區忠孝東路4段216巷 63號,台北市大安區車層里22鄰忠孝東路四段216巷63號,25.038204,121.55305800000001,,台北市,大安區
5901023519,惠盈藥局,02-87321366,台北市大安區辛亥路2段171巷31號,台北市大安區龍淵里13鄰辛亥路二段171巷31號,25.022971,121.54119299999999,,台北市,大安區
5901023523,聯合仁愛藥局,02-27039269,台北市大安區大安路1段157巷3號,台北市大安區德安里18鄰大安路一段157巷3號,25.037308,121.546319,,台北市,大安區
5901023591,一心藥局,02-27321818,台北市大安區和平東路3段238號,台北市大安區黎孝里1鄰和平東路三段238號,25.021906,121.55487600000001,星期日,台北市,大安區
5901023653,信安健康藥局,02-27084858,台北市大安區仁愛路4段122巷58號,台北市大安區敦安里15鄰仁愛路四段122巷58號,25.033923,121.55011699999999,,台北市,大安區
5901023680,新富川藥局,02-27114758,台北市大安區大安路1段51巷4號,台北市大安區光武里7鄰大安路一段51巷4號,25.043029,121.546392,無提供急診服務,台北市,大安區
5901023706,聖英藥局,02-27055851,台北市大安區仁愛路4段266巷15弄18號,台北市大安區敦煌里16鄰仁愛路四段266巷15弄18號,25.036542,121.553997,,台北市,大安區
5901023724,元氣生活健保藥局,02-27060580,台北市大安區新生南路1段161巷10號,台北市大安區民炤里12鄰新生南路一段161巷10號,25.034545,121.53466200000001,,台北市,大安區
5901023831,康乃馨藥局,02-23257097,台北市大安區建國南路1段327號,台北市大安區和安里21鄰建國南路一段327號,25.034806,121.538211,週一至週六09:00-21:00,台北市,大安區
5901023886,世康藥局,02-27015758,台北市大安區延吉街246號,台北市大安區光信里23鄰延吉街246號,25.035492,121.555605,,台北市,大安區
5901023902,惠良藥局,02-27387872,台北市大安區和平東路3段93－1號,台北市大安區全安里5鄰和平東路三段93之1號,25.024615,121.550727,,台北市,大安區
5901023966,愛維康生活藥局,02-27059791,台北市大安區四維路170巷21號,台北市大安區龍雲里16鄰四維路170巷21號,25.028317,121.54703400000001,,台北市,大安區
5901024007,古亭健康人生藥局,02-23660895,台北市大安區羅斯福路2段83號,台北市大安區古莊里5鄰羅斯福路二段83號,25.025723,121.52369099999999,9:30-21:55,台北市,大安區
5901024098,杏一瑞安藥局,02-27096710,台北市大安區瑞安街208巷11弄1號,台北市大安區龍圖里14鄰瑞安街208巷11弄1號,25.028661,121.54064699999999,,台北市,大安區
5901024114,好安心藥局,02-23772166,台北市大安區和平東路2段98之2號,台北市大安區龍淵里5鄰和平東路二段98之2號,25.024932,121.541503,週日有時營業，不定期營業,台北市,大安區
5901024123,中山樂方藥局,02-27050622,台北市大安區仁愛路4段112巷12號,台北市大安區敦安里17鄰仁愛路四段112巷12號,25.036422,121.54957900000001,,台北市,大安區
5901024178,天康忠孝藥局,02-77137763,台北市大安區忠孝東路3段223－1號,台北市大安區昌隆里1鄰忠孝東路三段223之1號,25.041856,121.54003600000001,過年期間照常營業,台北市,大安區
5901024212,中力信義藥局,02-23250266,台北市大安區信義路4段51號,台北市大安區仁慈里2鄰信義路四段51號,25.033544,121.544997,,台北市,大安區
5901024221,安居藥局,02-23773537,台北市大安區安居街19號,台北市大安區黎孝里8鄰安居街19號,25.020856,121.55493500000001,,台北市,大安區
5901024310,躍獅新生藥局,02-23623367,台北市大安區和平東路2段20號,台北市大安區龍門里7鄰和平東路二段20號,25.025664000000003,121.536221,,台北市,大安區
5901024347,博大藥局,02-27027858,台北市大安區安和路2段65號,台北市大安區通安里6鄰安和路二段65號,25.030627,121.552568,,台北市,大安區
5901024427,博昱仁愛藥局,02-87739258,臺北市大安區仁愛路4段65號,台北市大安區仁愛里17鄰仁愛路四段65號,25.038194,121.546869,8:00-22:00,台北市,大安區
5901024472,忠孝康承健保藥局,02-87733378,台北市大安區復興南路1段107巷4號,台北市大安區光武里25鄰復興南路一段107巷4號,25.043565,121.544399,,台北市,大安區
5901024481,微笑藥師藥局,02-27009655,台北市大安區信義路3段31巷4號,台北市大安區民炤里10鄰信義路三段31巷4號,25.034007,121.534458,執業時間9點到21點,台北市,大安區
5901024490,明星大藥局,02-27023747,台北市大安區光復南路430之1號,台北市大安區光信里5鄰光復南路430之1號,25.036184,121.557375,,台北市,大安區
5901024516,博昱師大藥局,02-23696966,台北市大安區羅斯福路3段189號,台北市大安區古風里6鄰羅斯福路三段189號,25.02109,121.52806899999999,執業時間8點到24點,台北市,大安區
5901024525,國泰維康藥局,02-27542185,台北市大安區仁愛路4段266巷15弄20號,台北市大安區敦煌里16鄰仁愛路四段266巷15弄20號,25.03654,121.5541,,台北市,大安區
5901024543,奇威藥局,02-23651110,台北市大安區雲和街93號,台北市大安區龍泉里1鄰雲和街93號,25.023386,121.531152,,台北市,大安區
5901024632,艾登安和藥局,02-27015201,台北市大安區安和路1段123號,台北市大安區敦煌里14鄰安和路一段123號,25.034881,121.552681,禮拜天執業時間11點到19點,台北市,大安區
5901024669,百岳藥局,02-27551037,台北市大安區和平東路2段311巷11號,台北市大安區群賢里7鄰和平東路二段311巷11號,25.025138000000002,121.545222,"執業時間早上時段9點到12點,晚上時段18點到21點",台北市,大安區
5901024678,大安健康人生藥局,02-27025553,台北市大安區信義路4段34號,台北市大安區住安里4鄰信義路四段34號,25.033159,121.544742,,台北市,大安區
5901024687,博昱大藥局,02-23776199,台北市大安區樂業街148號、150號,台北市大安區黎元里8鄰樂業街148號,25.019978,121.55295,,台北市,大安區
5901024696,仁華藥局,02-27336762,台北市大安區臥龍街155號,台北市大安區黎元里14鄰臥龍街155號,25.018342999999998,121.55109399999999,,台北市,大安區
5901024703,吾家藥局,02-27066425,台北市大安區信義路4段265巷6之1號,台北市大安區敦煌里8鄰信義路四段265巷6之1號,25.033723000000002,121.55420500000001,,台北市,大安區
5901024712,早安藥局,02-27002209,台北市大安區建國南路2段151巷42號,台北市大安區新龍里2鄰建國南路二段151巷42號,25.028648,121.539578,,台北市,大安區
5901024721,麗泰藥局,02-27079595,台北市大安區復興南路2段151巷4號,台北市大安區群賢里4鄰復興南路二段151巷4號,25.028319,121.543998,,台北市,大安區
5901024758,兆安健保藥局,02-27363069,台北市大安區通化街139號,台北市大安區臨江里7鄰通化街139號,25.02901,121.553977,,台北市,大安區
5901024767,杏一樂業藥局,02-27383194,台北市大安區樂業街162號,台北市大安區黎元里2鄰樂業街162號,25.019585,121.553459,,台北市,大安區
5901103183,OK藥師藥局,02-25170068,台北市中山區興安街95號,台北市中山區龍洲里11鄰興安街95號,25.056155,121.543465,,台北市,中山區
5901103192,昶青林森藥局,02-25639939,台北市中山區林森北路119巷52號,台北市中山區正義里11鄰林森北路119巷52號,25.050182,121.526852,,台北市,中山區
5901103209,麗恩藥局,02-25981982,台北市中山區林森北路575之5號,台北市中山區晴光里6鄰林森北路575之5號,25.065299,121.525798,,台北市,中山區
5901103227,建誠中西藥局,02-25158608,台北市中山區龍江路385之1號,台北市中山區下埤里6鄰龍江路385之1號,25.065106,121.541046,,台北市,中山區
5901103236,誠意中西藥局,02-25950951,台北市中山區林森北路613號,台北市中山區晴光里6鄰林森北路613號,25.066473000000002,121.525825,,台北市,中山區
5901103272,長安藥局,02-27772740,台北市中山區長安東路2段171－3號,台北市中山區力行里3鄰長安東路二段171之3號,25.048401000000002,121.54178600000002,上午9:30-晚上10:30,台北市,中山區
5901103325,仁一藥局,02-25711742,台北市中山區林森北路520號,台北市中山區聚葉里12鄰林森北路520號,25.062326000000002,121.52550600000001,,台北市,中山區
5901010290,健全藥局,02-27128293,台北市松山區民權東路3段103巷20號,台北市松山區民福里5鄰民權東路三段103巷20號,25.063269000000002,121.54491100000001,,台北市,松山區
5901010389,李得安藥局,02-87871655,台北市松山區民生東路5段36巷8弄11號1樓,台北市松山區介壽里18鄰民生東路五段36巷8弄11號,25.057333,121.55985600000001,,台北市,松山區
5901010496,瑞昌大藥局,02-27151881,台北市松山區民權東路3段103巷10號,台北市松山區民福里5鄰民權東路三段103巷10號,25.062984,121.544918,,台北市,松山區
5901010576,合生藥局,02-27602932,台北市松山區南京東路5段123巷45號1樓,台北市松山區東光里16鄰南京東路五段123巷45號,25.053638,121.560748,執業時段請電洽藥局,台北市,松山區
5901011662,上允藥局,02-27696905,台北市松山區民生東路5段78號,台北市松山區介壽里14鄰民生東路五段78號,25.058364,121.559049,,台北市,松山區
5901011699,建東大藥局,02-27676237,台北市松山區三民路97號1樓,台北市松山區三民里4鄰三民路97號,25.057235000000002,121.56339799999999,,台北市,松山區
5901011733,和諧藥局,02-27568580,台北市松山區民生東路5段148號2樓,台北市松山區三民里13鄰民生東路五段148號,25.058494,121.562151,,台北市,松山區
5901011751,德恩藥師藥局,02-27782829,台北市松山區八德路2段378號1樓,台北市松山區中崙里7鄰八德路二段378號,25.047971,121.54614199999999,,台北市,松山區
5901011760,延壽藥局,02-27685159,台北市松山區延壽街327號,台北市松山區介壽里5鄰延壽街327號,25.056786,121.560363,,台北市,松山區
5901011975,萬泰藥局,02-27135891,台北市松山區敦化北路222巷38號,台北市松山區民有里14鄰敦化北路222巷38號,25.059943,121.547103,,台北市,松山區
5901021382,建如藥局,02-27331456,台北市大安區和平東路3段228巷11號1Ｆ,台北市大安區黎孝里3鄰和平東路三段228巷11號,25.021742,121.55434199999999,,台北市,大安區
5901021408,生百藥局,02-27371011,台北市大安區臨江街124號,台北市大安區通安里11鄰臨江街124號,25.030235,121.553878,,台北市,大安區
5901022521,台安藥局,02-27549099,台北市大安區和平東路2段353號1樓,台北市大安區群賢里8鄰和平東路二段353號,25.024869,121.54616299999999,,台北市,大安區
5901022601,生光藥局,02-27780862,台北市大安區忠孝東路3段248巷2號,台北市大安區義村里8鄰忠孝東路三段248巷2號,25.041353,121.541207,,台北市,大安區
5901022763,佳美藥局,02-27054987,台北市大安區復興南路1段261之3號1樓,台北市大安區仁慈里15鄰復興南路一段261之3號,25.036222,121.543877,,台北市,大安區
5901022898,永康藥局,02-23279362,台北市大安區麗水街6之2號,台北市大安區永康里6鄰麗水街6之2號,25.032891,121.528995,,台北市,大安區
5901023073,世中欣藥局,02-23938947,台北市大安區永康街2巷8號,台北市大安區永康里5鄰永康街2巷8號,25.033154,121.529407,,台北市,大安區
5901023091,加豐藥局,02-27219678,台北市大安區忠孝東路3段216巷3弄1號1樓,台北市大安區義村里9鄰忠孝東路三段216巷3弄1號,25.041255,121.54026499999999,,台北市,大安區
5901023153,崇光藥局,02-27217958,台北市大安區忠孝東路3段305號7樓之3,台北市大安區誠安里10鄰忠孝東路三段305號,25.041887,121.54354199999999,,台北市,大安區
5901023215,大愛健康藥局,02-27092156,台北市大安區敦化南路2段63巷65號,台北市大安區義安里12鄰敦化南路二段63巷65號,25.031031,121.551984,,台北市,大安區
5901024801,平安藥師藥局,02-27010057,台北市大安區建國南路2段223號,台北市大安區龍生里15鄰建國南路二段223號,25.026332,121.53804099999999,,台北市,大安區
5901024810,博興藥局,02-23256668,台北市大安區四維路198巷28號,台北市大安區群英里31鄰四維路198巷28號,25.026614000000002,121.54596399999998,,台北市,大安區
5901024829,威康藥局,02-27061149,台北市大安區和平東路2段255之1號,台北市大安區群賢里5鄰和平東路二段255之1號,25.025002,121.543754,,台北市,大安區
5901024838,昶青藥局,02-27515678,台北市大安區濟南路3段22之1號,台北市大安區民輝里4鄰濟南路三段22之1號,25.040086,121.534581,,台北市,大安區
5901024856,杏一台北國泰藥局,02-27011785,台北市大安區仁愛路4段266巷15弄4號,台北市大安區敦煌里16鄰仁愛路四段266巷15弄4號,25.036554000000002,121.55318500000001,,台北市,大安區
5901024865,沛林東區生活藥_藥局,02-27763759,台北市大安區敦化南路1段187巷17號,台北市大安區建安里14鄰敦化南路一段187巷17號,25.042668,121.550149,,台北市,大安區
5901024874,奇異果大安藥局,02-23250891,台北市大安區大安路1段190號,台北市大安區仁慈里9鄰大安路一段190號,25.035726,121.54588799999999,,台北市,大安區
5901024883,躍獅敦和藥局,02-23785767,台北市大安區和平東路3段10號,台北市大安區虎嘯里1鄰和平東路三段10號,25.024527,121.546993,,台北市,大安區
5901024892,太醫藥局,02-23685125,台北市大安區師大路12號,台北市大安區古莊里2鄰師大路12號,25.025681,121.52826999999999,,台北市,大安區
5901024909,康維健保藥局,02-27000120,台北市大安區敦化南路1段329巷15號,台北市大安區敦安里15鄰敦化南路一段329巷15號,25.034246,121.550022,,台北市,大安區
5901102855,錦西春天生活藥局,02-25312658,台北市中山區錦西街10號,台北市中山區集英里7鄰錦西街10號,25.06024,121.521574,,台北市,中山區
5901102873,盛康藥局,02-25969580,台北市中山區吉林路399號,台北市中山區新喜里16鄰吉林路399號,25.065872,121.53050800000001,,台北市,中山區
5901102891,中山藥局,02-25236979,臺北市中山區林森北路128號,台北市中山區正得里16鄰林森北路128號,25.05125,121.52503999999999,,台北市,中山區
5901102962,中興藥局,02-27774628,台北市中山區長安東路2段226號,台北市中山區朱崙里15鄰長安東路二段226號,25.048181,121.542709,"營業時間如有異動,以藥局公告為準",台北市,中山區
5901102971,保德明水藥局,02-85097769,台北市中山區北安路608巷4弄1號,台北市中山區成功里3鄰北安路608巷4弄1號,25.081912,121.549291,,台北市,中山區
5901102999,廣福中西藥局,02-25189489,台北市中山區錦州街406號,台北市中山區江山里21鄰錦州街406號,25.060114000000002,121.54166000000001,"春節期間2/2,2/4營業,其餘休息.",台北市,中山區
5901103030,錦康活力藥局,02-25158282,台北市中山區民生東路2段147巷11弄1號地下,台北市中山區松江里14鄰民生東路二段147巷11弄1號,25.060024,121.53504,,台北市,中山區
5901103110,大直健康藥局,02-25323310,台北市中山區北安路591號,台北市中山區大直里18鄰北安路591號,25.081944,121.548643,,台北市,中山區
5901103147,娸淇藥局,02-25082762,台北市中山區伊通街95號,台北市中山區中央里9鄰伊通街95號,25.053055,121.534894,,台北市,中山區
5901113545,和康健保藥局,02-27997202,台北市內湖區文德路66巷41號,台北市內湖區瑞陽里18鄰文德路66巷41號,25.077203,121.581781,9:00-21點,台北市,內湖區
5901113554,葫光藥局,02-26336611,台北市內湖區康寧路3段54巷6號,台北市內湖區葫洲里12鄰康寧路三段54巷6號,25.071679,121.608993,國定假日可執行調劑業務,台北市,內湖區
5901113563,耀元藥局,02-26337369,台北市內湖區康樂街150號,台北市內湖區樂康里23鄰康樂街150號,25.072627,121.61924099999999,,台北市,內湖區
5901120022,旭村藥局,02-27820948,台北市南港區興華路112號,台北市南港區東新里1鄰興華路112號,25.056607999999997,121.60554199999999,,台北市,南港區
5901120139,裕成藥局,02-27851227,台北市南港區玉成街166巷13號,台北市南港區萬福里19鄰玉成街166巷13號,25.044334,121.583448,,台北市,南港區
5901120175,新錦安藥局,02-27825218,台北市南港區南港路3段34號,台北市南港區西新里9鄰南港路三段34號,25.054292,121.592216,,台北市,南港區
5901120184,仁泰藥局,02-27855464,台北市南港區同德路28號,台北市南港區萬福里9鄰同德路28號,25.045108,121.58408600000001,,台北市,南港區
5901120308,加欣藥局,02-27836222,台北市南港區南港路2段26號,台北市南港區東明里16鄰南港路二段26號,25.054251,121.605398,,台北市,南港區
5901121421,祥安藥局,02-26547322,台北市南港區中坡南路25號,台北市南港區鴻福里14鄰中坡南路25號,25.043288,121.583168,,台北市,南港區
5901121449,麗康藥局,02-26515236,台北市南港區同德路51號,台北市南港區萬福里4鄰同德路51號,25.045641,121.584753,,台北市,南港區
